id,test
201,67
202,64
203,67
204,81
205,86
206,69
207,81
208,82
209,67
210,81
211,64
212,70
213,59
214,69
215,69
216,60
217,57
218,78
219,71
220,78
221,90
222,77
223,72
224,70
225,71
226,63
227,81
228,86
229,71
230,53
231,76
232,69
233,85
234,77
235,75
236,54
237,69
238,61
239,63
240,58
241,66
242,76
243,73
244,40
245,64
246,74
247,86
248,69
249,79
250,80
251,46
252,71
253,76
254,59
255,59
256,75
257,62
258,50
259,87
260,77
261,81
262,69
263,77
264,65
265,77
266,53
267,55
268,76
269,56
270,77
271,76
272,73
273,57
274,67
275,69
276,67
277,66
278,79
279,68
280,66
281,97
282,43
283,80
284,98
285,54
286,58
287,71
288,60
289,23
290,47
291,79
292,66
293,63
294,63
295,68
296,74
297,78
298,60
299,47
300,68
301,76
302,92
303,93
304,87
305,73
306,59
307,60
308,51
309,68
310,83
311,82
312,94
313,82
314,68
315,59
316,62
317,66
318,65
319,70
320,65
