id,test
289,23
244,40
282,43
251,46
299,47
290,47
258,50
308,51
230,53
266,53
236,54
285,54
267,55
269,56
217,57
273,57
240,58
286,58
255,59
306,59
315,59
213,59
254,59
216,60
288,60
298,60
307,60
238,61
257,62
316,62
294,63
239,63
226,63
293,63
245,64
202,64
211,64
264,65
318,65
320,65
280,66
292,66
241,66
317,66
277,66
203,67
276,67
209,67
201,67
274,67
309,68
279,68
300,68
314,68
295,68
248,69
232,69
237,69
214,69
215,69
262,69
206,69
275,69
319,70
212,70
224,70
219,71
287,71
225,71
229,71
252,71
223,72
243,73
305,73
272,73
246,74
296,74
235,75
256,75
268,76
231,76
242,76
271,76
301,76
253,76
263,77
260,77
222,77
234,77
270,77
265,77
297,78
218,78
220,78
278,79
291,79
249,79
283,80
250,80
204,81
261,81
207,81
227,81
210,81
208,82
313,82
311,82
310,83
233,85
247,86
205,86
228,86
259,87
304,87
221,90
302,92
303,93
312,94
281,97
284,98
